page,name,variety,description
https://www.winemag.com/buying-guide/las-positas-2015-estate-reserve-cabernet-sauvignon-livermore-valley/,Domus Aurea 2015 Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,"Oodles of oak meet gobs of fruit in this ripe, mature and ready-to-drink wine. Toast, nutmeg, vanilla and cedar wrap around rich plum and a touch of raspberry, while full body adds to a generous mouthfeel. "
https://www.winemag.com/buying-guide/j-scott-cellars-2016-cabernet-sauvignon-walla-walla-valley-wa/,Fallon Place 2015 Nacimento Vineyard Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,"Baking chocolate, cherry cordial, green herb and anise aromas are at the fore. Plump, upfront flavors follow, with the tannins bringing a bit of grit. Give it time to settle in. "
https://www.winemag.com/buying-guide/clay-shannon-2016-cabernet-sauvignon-napa-county-lake-county/,Pegasus Estate 2016 Quadrille Vogelzang Vineyard Red (Santa Ynez Valley),Cabernet Sauvignon,"This big but balanced wine carries aromas of black cherry and mint. The palate offers a firm texture, with fresh flavors of ripe black cherry, cranberry and black plum. "
https://www.winemag.com/buying-guide/eight-bells-2016-barrel-select-red-willow-vineyard-cabernet-sauvignon-yakima-valley/,Daou 2016 Cabernet Sauvignon (Adelaida District),Cabernet Sauvignon,"This is the winery's first reserve-level offering, coming from a multi-clonal block of Cabernet at this vineyard. Aromas of coffee, chocolate, toast and herb are at the fore. Reserved, chocolatey flavors follow. The barrel influence shows more strongly than the norm for this winery, but it has good stuffing. Best after 2023. "
https://www.winemag.com/buying-guide/tyros-2015-cabernet-sauvignon-napa-valley/,Ruby Hill Winery 2015 Intesa Red (Livermore Valley),Cabernet Sauvignon,"This wine offers a bright nose of sweet oak, which leads to succulent waves of cherry, plum and currant on the palate. Flourishes of cedar and dried herb meld with a wealth of soft, silky tannins. "
https://www.winemag.com/buying-guide/f2-wines-2016-tbo-great-oaks-vineyard-cabernet-sauvignon-los-olivos-district/,RedHeads 2015 Esule Cabernet Franc-Cabernet Sauvignon (McLaren Vale),Cabernet Sauvignon,"Extracted aromas of red berry, purple flowers and peppery spice are very tangy on the nose of this bottling. The palate is also very tangy with red currant and pomegranate balsamic flavors, framed by buoyant acidity and background tannins. "
https://www.winemag.com/buying-guide/vina-casablanca-2017-ayra-reserva-cabernet-sauvignon-maipo-valley/,California Roots 2017 Cabernet Sauvignon (California),Cabernet Sauvignon,"Bell pepper, hard spice and green tobacco aromas blend with milder notes of cherry and plum. This feels lean, crisp and punchy, while the flavor profile is tart and gritty, with green notes infused into basic plum flavors. Heat and scratchy tannins roughen up the finish. "
https://www.winemag.com/buying-guide/daou-2017-cabernet-sauvignon-paso-robles/,Mettler Family Vineyards 2016 Estate Grown Cabernet Sauvignon (Lodi),Cabernet Sauvignon,"Aromas of black plum, black olive and violet lead into a texturally dynamic palate loaded with ripe but not overdone black currant, baking spice and vanilla flavors. Strong acidity drives the finish. "
https://www.winemag.com/buying-guide/cayuse-2016-the-widowmaker-cabernet-sauvignon-walla-walla-valley-or/,Di Costanzo 2017 Montecillo Vineyard Cabernet Sauvignon (Moon Mountain District Sonoma County),Cabernet Sauvignon,"There's no question that this wine brings the funk. Cassis bud, freshly tilled soil, chimney and ember aromas are followed by flavorful cherry notes on a deft palate. It shows a surprising amount of structure for the Rocks District. There's also a mouthwatering sense to it that ups the interest along with a long finish. Cabernet from this area is unique and hasn't gotten as much attention as other varieties. "
https://www.winemag.com/buying-guide/ashbrook-estate-2013-reserve-cabernet-sauvignon-margaret-river/,Hess Collection 2016 Estate Grown Cabernet Sauvignon (Mount Veeder),Cabernet Sauvignon,"This wine may be a Bordeaux blend—with a small amount of Merlot, Cabernet Franc and Petit Verdot in the mix—but it's unmistakably Margaret River in style. It's spicy and concentrated, with black-cherry and cassis fruit, tobacco leaf, mint, mocha and graphite and more earthy herbal notes. There's a fair lick of oak influence here too. The palate is powerful but poised, framed by ultrafine herb-and-graphite tannins and lifted by crisp acidity. Still a baby, this fine wine should gain heaps of complexity with time. Drink 2021–2034 and likely beyond. "
https://www.winemag.com/buying-guide/terra-valentine-2015-wurtele-vineyard-cabernet-sauvignon-spring-mountain-district/,Daou 2016 Cabernet Sauvignon (Adelaida District),Cabernet Sauvignon,"This is a spicy, herbal and thickly concentrated wine, grippy in tannin and brawny black fruit. The big flavor is complemented by complex elements of cedar, clove and cigar box—lasting notions on the finish that would benefit from more time in bottle. Enjoy best from 2025–2030. "
https://www.winemag.com/buying-guide/stella-bella-2016-cabernet-sauvignon-margaret-river/,Mettler Family Vineyards 2016 Estate Grown Cabernet Sauvignon (Lodi),Cabernet Sauvignon,"Like Leeuwin Estate, Stella Bella lies in the southern part of Margaret River where climes are a little cooler and wines a tad fresher. This approachable red berry and floral example shows a fair lick of toasted, coconut oak but it's tucked in with savory graphite and warm earth tones. The freshness element is especially felt on the palate, where acidity lifts the fruit into crunchiness, cinched by spicy sinewy tannins. The oak does get a bit blocky here but all is forgiven thanks to those interestingly textured tannins and bright fruit. Drink now through 2027. "
https://www.winemag.com/buying-guide/the-blending-lab-2016-cabernet-sauvignon-paso-robles/,Pegasus Estate 2016 Quadrille Vogelzang Vineyard Red (Santa Ynez Valley),Cabernet Sauvignon,"Deep and dark in the glass, this bottling shows intense blackberry-jam aromas alongside a hint of cedar. The flavors and texture fill the mouth, delivering dense blackberry, dried violets and roasted coffee against chalky yet polished tannins. Drink now through 2031. "
https://www.winemag.com/buying-guide/guarachi-family-2016-meadow-rock-vineyard-cabernet-sauvignon-napa-valley/,Daou 2016 Cabernet Sauvignon (Adelaida District),Cabernet Sauvignon,"From estate-grown fruit, 100% varietal, this is a bold, concentrated and well-structured wine, big in grippy tannin and robust oak. The dark brooding berry fruit is contrasted in tobacco and tar, with a lasting flinty quality. "
https://www.winemag.com/buying-guide/grassini-2015-reserve-cabernet-sauvignon-happy-canyon-of-santa-barbara/,Daou 2016 Cabernet Sauvignon (Adelaida District),Cabernet Sauvignon,"Warm aromas of black cherry, caramel and cola promise a comforting sip on this rich and ripe wine from one of the region's more beautiful estates. Rich cassis and blackberry flavors meet with spicy touches of sarsaparilla and mocha on the sip, which is framed by chalky yet slender tannins. "
https://www.winemag.com/buying-guide/betz-family-2016-pere-de-famille-cabernet-sauvignon-columbia-valley-wa/,Hess Collection 2016 Estate Grown Cabernet Sauvignon (Mount Veeder),Cabernet Sauvignon,"This winery celebrates its 20th anniversary of this wine, and what a two decades it has been. With a healthy 20% Petit Verdot and a dash of Merlot (5%), aromas of char, cherry, citrus, generous barrel spice, bay leaf, plum, thyme and anise lead to elegant, classically styled fruit flavors with lip-smacking acidity and tannins that give a gentle but notable squeeze. It's a throwback wine. Leave it until at least 2025. "
https://www.winemag.com/buying-guide/domaine-eden-2016-cabernet-sauvignon-santa-cruz-mountains/,Pegasus Estate 2016 Quadrille Vogelzang Vineyard Red (Santa Ynez Valley),Cabernet Sauvignon,"The more affordable little sister of Mount Eden, this wine, which is bolstered by 15% Merlot, 5% Cabernet Franc, 4% Petit Verdot and 1% Malbec, offers black plum, wet river stones, dusty herbs and wood spice on the nose. The palate focuses on minerality, structure and savory flavors, including subtle lavender and black plum. The structure will last for ages. Drink 2020–2036. "
https://www.winemag.com/buying-guide/clairault-2015-cabernet-sauvignon-margaret-river/,Mettler Family Vineyards 2016 Estate Grown Cabernet Sauvignon (Lodi),Cabernet Sauvignon,"This is a restrained and polished wine that neatly demonstrate's Margaret River's ability to produce world class Cabernet. It opens fairly delicately, with aromas of cherries, red currents, licorice, tobacco leaf and graphite, with a touch of olive and peppery wood spice. The palate then comes at you full throttle—acid, oak, tannins, fruit and alcohol—there's nothing shy or demure here. But there's also bags of complexity, regionality and age-worthiness. Drink now, with time in decanter and protein or better yet, wait a decade. "
https://www.winemag.com/buying-guide/voyager-estate-2014-cabernet-sauvignon-margaret-river/,Caliza 2016 Companion Red (Central Coast),Cabernet Sauvignon,"This Cab is classic Margaret River from a long-standing estate, offering a plethora of aromas from ripe plums, blackberries and licorice to cedar, pencil lead, olive brine and mint. It's fairly full figured but there's focus and restraint amidst Cabernet's inherent power. Silky fruit, herbal tannins and plenty of savory spice set this wine up for a long life. Drink now through 2034. "
https://www.winemag.com/buying-guide/vasse-felix-2016-cabernet-sauvignon-margaret-river/,Pegasus Estate 2016 Quadrille Vogelzang Vineyard Red (Santa Ynez Valley),Cabernet Sauvignon,"It's hard to believe that this is Vasse Felix's middle-tier red, such is its pedigree. With a little Malbec and Petit Verdot in the mix, this Cabernet is classic Margaret River, balancing power and structure with complexity and poise. Evoking the springtime scents of this coastal region, it billows ripe red currents, eucalyptus, sage, beach scrub and sea spray. Set up for aging, tannins are fine and vice-like and the oak is fairly prominent, but all should settle into place with a few more years in bottle. Drink now until 2029. "
https://www.winemag.com/buying-guide/gramercy-2016-cabernet-sauvignon-columbia-valley-wa/,Di Costanzo 2017 Di Co Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"Pleasing aromas of cocoa, thyme, dark coffee, graphite and cherry lead to elegant, lip-smacking flavors that still carry a sense of richness. Refined, subtle tannins back it up. Coffee notes linger on the finish. The balance is spot on, and it brings an unabashed sense of deliciousness. "
https://www.winemag.com/buying-guide/sol-rouge-2014-cabernet-sauvignon-red-hills/,MontGras 2016 Intriga Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,"This wine is a full-bore full-bodied effort that shows intensely concentrated black-fruit, black-pepper and wood-smoke aromas, followed by a wave of superripe flavors. An attractive charcoal and iron-like quality comes out with time in the glass. Firm tannins keep it well wrapped up, but this is not necessarily an ager; enjoy through 2021. "
https://www.winemag.com/buying-guide/point-ormond-2014-cabernet-sauvignon-margaret-river/,Sketchbook 2017 Cabernet Sauvignon (Mendocino County),Cabernet Sauvignon,"This is signature Margaret River. A nose of ripe cherries and raspberries is backed by savory spices, eucalyptus, pencil lead, black olives and some floral nuances. The mouthfeel has lovely tension and lift to it, the acidity counteracting the dryness of the powdery tannins that slink around the tongue rather than gripping it. Power and poise are what Margaret River Cabs are all about and this has both in spades, and for an incredible bargain to boot. "
https://www.winemag.com/buying-guide/en-garde-2015-touche-cabernet-sauvignon-napa-valley/,Hess Collection 2016 The Lion Estate Grown Cabernet Sauvignon (Mount Veeder),Cabernet Sauvignon,This includes 12% Mount Veeder Cabernet Franc and 2% Petit Verdot. Juicy blackberry and brown-sugar richness evolves in the glass to find balance in high-toned cherry and currant. It has good tension and texture within a full-bodied concentrated framework. 
https://www.winemag.com/buying-guide/flora-springs-2016-rennie-reserve-cabernet-sauvignon-st-helena/,Stag's Leap Wine Cellars 2016 Fay Estate Grown Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,"Pencil shavings and plum give this sumptuous full-bodied wine a well-earned structure, with high-toned, fresh undertones of acidity and complexity. The oak and tannin weight are in balance and in support of the savory fruit. "
https://www.winemag.com/buying-guide/davies-2016-jd-estate-cabernet-sauvignon-diamond-mountain-district/,Arietta 2016 Quartet Red (Napa Valley),Cabernet Sauvignon,"This elegant, classically styled wine is earthy in tobacco, mushroom and fig, a lovely wine from the mountain appellation. A soft understated richness of plum and black cherry wrap around a texture of grippy dust and dark chocolate, finishing as gracefully as it starts. "
https://www.winemag.com/buying-guide/stella-bella-2016-luminosa-cabernet-sauvignon-margaret-river/,Arietta 2016 Quartet Red (Napa Valley),Cabernet Sauvignon,"The price tag associated with fine wines doesn't always align with quality, but in the case of Stella Bella's Luminosa range, it's worth every penny. The Cab is fragrant combo of blueberries, cherries, florals, soft peppery spice and a streak of something savory and mineral, like sea spray on warm beach pebbles. The tannins are fine, herbal and highly textured, beautifully balancing the juicy silky fruit and returning to its savory side on the finish. Drink now through 2029 and likely beyond. "
https://www.winemag.com/buying-guide/leonetti-cellar-2016-cabernet-sauvignon-walla-walla-valley-wa/,Di Costanzo 2017 Montecillo Vineyard Cabernet Sauvignon (Moon Mountain District Sonoma County),Cabernet Sauvignon,"For the first time this wine contains some fruit from the winery's Holy Roller Vineyard. The aromas pop, with notes of blackberry bramble, coffee, barrel spice and herb. Rich, ripe fruit flavors follow. There's a pleasing sense of plumpness to the flavors but also enough acidity and tannin structure to win the race. Best after 2026, with a long life beyond that. "
https://www.winemag.com/buying-guide/j-bookwalter-2016-volume-6-dionysus-vineyard-cabernet-sauvignon-columbia-valley-wa/,Di Costanzo 2017 Montecillo Vineyard Cabernet Sauvignon (Moon Mountain District Sonoma County),Cabernet Sauvignon,"The aromas in this 100% Cabernet Sauvignon are brooding, with notes of char, leafy herbs, freshly brewed coffee and spice. A full-flavored palate follows, laden with dark coffee flavors. The tannins give a firm squeeze. A warm finish caps it off. Give it time for the tannins to stretch their legs. Best after 2024. "
https://www.winemag.com/buying-guide/betz-family-2016-heart-of-the-hill-cabernet-sauvignon-red-mountain/,Di Costanzo 2016 Farella Vineyard Cabernet Sauvignon (Coombsville),Cabernet Sauvignon,"Luxurious aromas of barrel spice, char, roasted coffee bean, black cherry, earth, cocoa, graphite, coffee and herb lead to elegant but textured, layered, tart, lip-smacking fruit flavors. The palate is all pleasantly dialed back considering the warmth of the vintage and region, with an exquisite acidity and tannin balance. In cooler days, Washington Cabernets sat squarely between California and Bordeaux. This throwback wine does just that. Best after 2025. "
https://www.winemag.com/buying-guide/delille-2015-grand-ciel-cabernet-sauvignon-red-mountain/,Vasse Felix 2015 Tom Cullity Cabernet Sauvignon-Malbec (Margaret River),Cabernet Sauvignon,"There's no question this is a warm-vintage wine, with its aromas of black cherry, game, licorice, scorched earth, barrel spice and blackberry. The palate brings rich, intense, rollicking dark-fruit flavors that have enough firm, tightly wound tannic structure to stitch them all together. It has the stuffing to run the race and then run it again. Best after 2027. "
https://www.winemag.com/buying-guide/mount-eden-vineyards-2015-cabernet-sauvignon-santa-cruz-mountains/,Di Costanzo 2017 Montecillo Vineyard Cabernet Sauvignon (Moon Mountain District Sonoma County),Cabernet Sauvignon,"This is savory style of Cab from a mountainside site, starting with aromas of roast beef, crushed asphalt and dark seared elderberry fruits. Black plum and more elderberry show on the sip, but the focus of the smoothed out tannic profile is showcasing rocky soil-driven flavors, with hints of olive and charred meat toward the finish. "
https://www.winemag.com/buying-guide/paul-dolan-2016-cabernet-sauvignon-mendocino-county/,Mettler Family Vineyards 2016 Estate Grown Cabernet Sauvignon (Lodi),Cabernet Sauvignon,"This is a huge, muscular but agile wine made from organically grown grapes. Fragrant aromas of French oak spices are followed by concentrated layers of black cherry, cinnamon, black currant and clove. Supported by a big, velvety frame of soft tannins, it is seductive now and will improve through 2026. "
https://www.winemag.com/buying-guide/j-davies-2016-cabernet-sauvignon-diamond-mountain-district/,Di Costanzo 2016 Farella Vineyard Cabernet Sauvignon (Coombsville),Cabernet Sauvignon,"This wine has a supple succulence of black fruit on the midpalate that's accented by earthy, savory spice. Dark cherry and plum take on bolder, concentrated richness as the wine opens, with expansive, grippy tannins lending support. Enjoy 2026–2031. "
https://www.winemag.com/buying-guide/rowen-2015-600l-cabernet-sauvignon-sonoma-county/,Stag's Leap Wine Cellars 2016 Fay Estate Grown Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,"This wine is from the producer's high-elevation Cooley Ranch Vineyard and blended with 20% Petit Verdot. It offers aromas of sage, cedar and oak on the nose. Full in weight and intensely powerful, it has thick, rich layers of cherry, cola and cassis that await further integration. Enjoy 2025–2030. "
https://www.winemag.com/buying-guide/broadside-2016-ephemera-cabernet-sauvignon-paso-robles/,Silverado 2016 SOLO Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,"Crisp blackberry, light licorice, lilac and a hint of charred meat show on the nose of this luxury-level bottling from Brian Terrizzi. There are elderberry and elderflower touches on the elegantly woven sip, where dark fruit and flowers compete for attention amidst the dry tannic framing. "
https://www.winemag.com/buying-guide/spottswoode-2016-lyndenhurst-cabernet-sauvignon-napa-valley/,Daou 2016 Cabernet Sauvignon (Adelaida District),Cabernet Sauvignon,"This wine continues to overdeliver on its price point, offering elegant yet powerful aromas of fig, forest floor and earth. Firm tannins offer grip around flavors of black currant, sage, cedar and flint, with spicy clove lingering on the finish. "
https://www.winemag.com/buying-guide/quilceda-creek-2016-cabernet-sauvignon-columbia-valley-wa/,Stag's Leap Wine Cellars 2016 S.L.V. Estate Grown Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"Quilceda Creek has been a benchmark in Washington since its first vintage in 1979. Aromas of pitch-black cherry, graphite and spice lead to ripe, intense, layered dark-fruit flavors supported by velvety but firm tannins that lead to a warm finish. As always, time in the cellar will serve this wine well. Best after 2026, with a long life beyond that. "
https://www.winemag.com/buying-guide/terramagna-2015-ciro-cabernet-sauvignon-spain/,Fortress 2016 Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,"Raw, grassy aromas include candied fruit and mint notes. The palate is high in acidity and low in charm. Herbal raspberry and plum flavors are sugary on the finish. "
https://www.winemag.com/buying-guide/le-val-2018-cabernet-sauvignon-vin-de-france/,Finca Flichman 2018 Roble Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,"This smells sweet, confected and oaky, with a generous overlay of rich vanilla-soaked cherry and raspberry sauce. The palate is similarly sweet and oaky, with oodles of vanilla-soaked wood and surprisingly austere tannins that grip the finish. "
https://www.winemag.com/buying-guide/terramagna-2015-lance-cabernet-sauvignon-spain/,Fortress 2016 Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,"Fiery red fruit aromas are green, while this rubs the cheeks with astringency. Herbal red fruit flavors suggest currant and thyme, while this undistinguished Cabernet tastes green and spicy on the finish. "
https://www.winemag.com/buying-guide/vicente-gandia-2015-hoya-de-cadenas-single-estate-crianza-cabernet-sauvignon-utiel-requena/,Tussock Jumper 2018 Cabernet Sauvignon (San Juan),Cabernet Sauvignon,"Aromas of tree bark, spice and fiery red fruits lead to a raw, cheeky palate with tomatoey acidity. Oddly, cherry and plum flavors carry a burnt overtone, while this reverts to tomatoey and smacking on the finish. "
https://www.winemag.com/buying-guide/cigar-box-2018-old-vine-hand-harvested-cabernet-sauvignon-central-valley/,Tussock Jumper 2018 Cabernet Sauvignon (San Juan),Cabernet Sauvignon,"Berry and black-currant aromas are candied and smell of latex and rubber. A sappy palate is fairly raw and thin, while this tastes vaguely of soap, raspberry and dried leaves. A short finish is fitting. "
https://www.winemag.com/buying-guide/santa-rita-2017-120-reserva-especial-cabernet-sauvignon-central-valley/,California Roots 2017 Cabernet Sauvignon (California),Cabernet Sauvignon,"From head to toe there's nothing special about this so-called Reserva Especial. The nose smells of clove and not of fruit, while the palate is edgy, raw and gravelly. Flavors of mint gumdrop and clove are, like the nose, devoid of fruit. A raw, gritty finish is no savior. "
https://www.winemag.com/buying-guide/anakena-2018-cabernet-sauvignon-central-valley/,Grayson 2018 Cabernet Sauvignon (California),Cabernet Sauvignon,"Berry and plum aromas are roasted and suggest Band-Aid rubber. A tight, pulling palate is rubbery and braced by tomatoey acidity, while herbal berry and plum flavors are slightly green prior to a scratchy finish. "
https://www.winemag.com/buying-guide/montgras-2018-reserva-cabernet-sauvignon-colchagua-valley/,Grayson 2018 Cabernet Sauvignon (California),Cabernet Sauvignon,"Plum and raspberry aromas are clouded by creamy, candied oak notes in front of a grapy palate with gritty tannins. Black-cherry and cassis flavors come with a brown-sugar accent, while this basic Cabernet loses steam on a finish that tastes unnaturally sweet. "
https://www.winemag.com/buying-guide/bota-box-2017-nighthawk-black-cabernet-sauvignon-chile/,Wine Cube 2017 Cabernet Sauvignon (California),Cabernet Sauvignon,"Basic cherry, plum and berry aromas qualify as standard. This boxed Cab feels creamy and sticky. Sugary flavors of maple syrup, milk chocolate and berry jam finish without much grip or structure. Subtract a point or two if you can't handle residual sugar in your Cabernet. "
https://www.winemag.com/buying-guide/les-domaines-auriol-2018-le-reveil-cabernet-sauvignon-vin-de-france/,Grayson 2018 Cabernet Sauvignon (California),Cabernet Sauvignon,"There's not a strong set of aromas here, with subtle notes of black cherry, bramble and mentholated herb stems. The palate is medium in feel, with soft tannins and a pronounced minty character riding atop red-plum and brambly red-berry fruits that carry through to the close. "
https://www.winemag.com/buying-guide/bostavan-2016-dor-reserva-cabernet-sauvignon-moldova/,Flat Top Hills 2016 Cabernet Sauvignon (California),Cabernet Sauvignon,"This wine is garnet-ruby in color and has aromas of black cherry, red plum and violet. On the palate there are flavors of plum, cinnamon and cherry, and there is a touch of tart acidity on the finish. "
https://www.winemag.com/buying-guide/joel-gott-2016-815-cabernet-sauvignon-california/,Flat Top Hills 2016 Cabernet Sauvignon (California),Cabernet Sauvignon,"An obvious and dramatic oak aroma and flavor make this full-bodied wine a kind of one-note song. It is moderately tannic and has some ripe black cherry under the char, cedar and menthol notes. "
https://www.winemag.com/buying-guide/aresti-2017-trisquel-series-parras-fundadoras-cabernet-sauvignon-curico-valley/,Experience 2016 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"Gritty, grainy berry aromas are spicy but lack complexity and nuance. On the palate, this pulls inward due to clampy tannins. Spicy plum flavors finish with rawness, racy acidity and scratchiness. "
https://www.winemag.com/buying-guide/the-seeker-2018-cabernet-sauvignon-central-valley/,California Roots 2017 Cabernet Sauvignon (California),Cabernet Sauvignon,"Jammy berry aromas are slightly roasted and rubbery. A flush palate is anchored by mild but gritty tannins, while this Cab tastes of herbal plum and berry fruits along with mint. Tolerable heat on the finish isn't a major detractor. "
https://www.winemag.com/buying-guide/original-house-wine-nv-cabernet-sauvignon-central-valley/,Experience 2016 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"Round, mostly ripe black-fruit aromas do a fair job of drawing you into this flush Cabernet that's chunky and slightly awkward in feel but not unbalanced. Black-fruit flavors show a green note, while this is soft on a finish, with almost no tannic grip. "
https://www.winemag.com/buying-guide/vicente-gandia-2014-finca-del-mar-crianza-cabernet-sauvignon-valencia/,Flat Top Hills 2016 Cabernet Sauvignon (California),Cabernet Sauvignon,"Generic black plum and berry aromas are not well defined or elevated. A flush, sappy palate is saucy in feel, while this tastes of herbal black fruits, oak spice and pepper. A dry finish is low on fruit. "
https://www.winemag.com/buying-guide/wildhaven-2017-reserve-cabernet-sauvignon-horse-heaven-hills/,Flat Top Hills 2016 Cabernet Sauvignon (California),Cabernet Sauvignon,"The aromas pop with notes of jalapeño pepper, green pepper, flower, plum and black currant. Lighter-styled fruit flavors follow, painting around the edges. The concentration seems light and it all comes off as quite green. "
https://www.winemag.com/buying-guide/voiturette-2018-cabernet-sauvignon-vin-de-france/,Flat Top Hills 2016 Cabernet Sauvignon (California),Cabernet Sauvignon,"Raspberry leaf, just-ripe strawberry and soft herbal tones grace the subtle nose of this wine. It's soft and satiny in feel, with light tannins and a mentholated lift that unfurls on the close, with shots of red-cherry juice and a fleck of pomegranate. "
https://www.winemag.com/buying-guide/tormaresca-2017-neprica-cabernet-sauvignon-puglia/,DFJ Vinhos 2017 Point West Cabernet Sauvignon (Lisboa),Cabernet Sauvignon,Bright black cherry and blueberry aromas meld with cinnamon and bubblegum in this accessible Cabernet Sauvignon. It is juicy and crunchy on the palate in dark berry flavors that are shaded by graphite and warm spice. 
https://www.winemag.com/buying-guide/i-am-2018-cabernet-sauvignon-romania/,DFJ Vinhos 2017 Point West Cabernet Sauvignon (Lisboa),Cabernet Sauvignon,"This Romanian Cabernet Sauvignon is ink colored with aromas of red plum, red currant and eucalyptus. It has flavors of cherry vanilla, black raspberry and plum before the smooth finish. "
https://www.winemag.com/buying-guide/secolul-13-2014-cabernet-sauvignon-insuratei/,Husch 2016 Cabernet Sauvignon (Mendocino),Cabernet Sauvignon,"This Romanian Cabernet Sauvignon has aromas of cassis, tart red cherry and black plum. On the palate there are flavors of black plum and black raspberry before the smooth finish. "
https://www.winemag.com/buying-guide/original-house-wine-2017-steak-house-cabernet-sauvignon-america/,DFJ Vinhos 2017 Point West Cabernet Sauvignon (Lisboa),Cabernet Sauvignon,"Off-dry dark-fruit and herb flavors are at the heart of this lightly aromatic wine. It's a straightforward, red wine quaffer. "
